DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,TravelTime
236,79,1,2,2.5,0.5,18.0,0.3,0.5,1,1,N,2.0,0.0,23.8,2021-01-01 00:43:22,2021-01-01 00:28:41,5.44,2021-01-01 12:58:41,2021-01-01 13:13:22,881
33,68,1,2,2.5,0.5,16.5,0.3,0.5,1,1,N,4.06,0.0,24.36,2021-01-01 00:48:21,2021-01-01 00:31:49,4.94,2021-01-01 13:01:49,2021-01-01 13:18:21,992
239,142,1,2,2.5,0.5,5.5,0.3,0.5,1,1,N,2.79,0.0,12.09,2021-01-01 00:38:37,2021-01-01 00:33:38,.73,2021-01-01 13:03:38,2021-01-01 13:08:37,299
263,262,1,2,2.5,0.5,5.0,0.3,0.5,2,1,N,1.76,0.0,10.56,2021-01-01 00:53:44,2021-01-01 00:49:06,.70,2021-01-01 13:19:06,2021-01-01 13:23:44,278
75,74,1,2,0.0,0.5,3.5,0.3,0.5,1,2,N,0.0,0.0,4.8,2021-01-01 00:19:08,2021-01-01 00:17:09,.58,2021-01-01 12:47:09,2021-01-01 12:49:08,119
230,234,1,1,2.5,3.0,9.5,0.3,0.5,1,1,N,2.65,0.0,15.95,2021-01-01 00:29:08,2021-01-01 00:15:33,1,2021-01-01 12:45:33,2021-01-01 12:59:08,815
79,234,1,2,2.5,0.5,7.5,0.3,0.5,1,1,N,2.26,0.0,13.56,2021-01-01 00:45:39,2021-01-01 00:38:14,1.39,2021-01-01 13:08:14,2021-01-01 13:15:39,445
236,263,1,2,2.5,0.5,4.5,0.3,0.5,3,1,N,1.66,0.0,9.96,2021-01-01 00:36:07,2021-01-01 00:33:33,.77,2021-01-01 13:03:33,2021-01-01 13:06:07,154
142,48,1,2,2.5,0.5,6.5,0.3,0.5,1,1,N,2.58,0.0,12.88,2021-01-01 00:51:20,2021-01-01 00:46:02,1.4,2021-01-01 13:16:02,2021-01-01 13:21:20,318
229,137,1,1,2.5,3.0,5.5,0.3,0.5,0,1,N,1.86,0.0,11.16,2021-01-01 00:32:04,2021-01-01 00:27:44,1.2,2021-01-01 12:57:44,2021-01-01 13:02:04,260
32,48,1,2,2.5,0.5,38.0,0.3,0.5,1,2,N,0.0,0.0,41.8,2021-01-01 01:23:03,2021-01-01 00:55:13,13.67,2021-01-01 13:25:13,2021-01-01 13:53:03,1670
132,138,1,1,0.0,0.5,29.0,0.3,0.5,0,1,N,6.05,0.0,36.35,2021-01-01 00:31:01,2021-01-01 00:15:48,10.6,2021-01-01 12:45:48,2021-01-01 13:01:01,913
236,163,1,1,2.5,3.0,8.5,0.3,0.5,2,1,N,2.45,0.0,14.75,2021-01-01 00:22:11,2021-01-01 00:13:05,1.8,2021-01-01 12:43:05,2021-01-01 12:52:11,546
42,50,1,2,2.5,0.5,17.0,0.3,0.5,1,2,N,0.0,0.0,20.8,2021-01-01 01:11:55,2021-01-01 00:57:53,5.18,2021-01-01 13:27:53,2021-01-01 13:41:55,842
158,246,1,2,2.5,0.5,8.5,0.3,0.5,1,1,N,3.08,0.0,15.38,2021-01-01 00:57:32,2021-01-01 00:49:01,1.82,2021-01-01 13:19:01,2021-01-01 13:27:32,511
79,148,1,2,2.5,0.5,5.5,0.3,0.5,6,2,N,0.0,0.0,9.3,2021-01-01 00:42:57,2021-01-01 00:38:54,1.09,2021-01-01 13:08:54,2021-01-01 13:12:57,243
228,113,1,1,2.5,3.0,24.5,0.3,0.5,1,2,N,0.0,0.0,28.3,2021-01-01 00:38:24,2021-01-01 00:11:28,6.8,2021-01-01 12:41:28,2021-01-01 13:08:24,1616
140,236,1,2,2.5,0.5,6.0,0.3,0.5,1,1,N,3.0,0.0,12.8,2021-01-01 00:35:50,2021-01-01 00:31:10,1.24,2021-01-01 13:01:10,2021-01-01 13:05:50,280
41,74,1,2,0.0,0.5,7.0,0.3,0.5,1,2,N,0.0,0.0,8.3,2021-01-01 00:34:49,2021-01-01 00:28:18,1.35,2021-01-01 12:58:18,2021-01-01 13:04:49,391
41,239,1,2,2.5,0.5,10.0,0.3,0.5,1,2,N,0.0,0.0,13.8,2021-01-01 00:29:57,2021-01-01 00:20:39,2.6,2021-01-01 12:50:39,2021-01-01 12:59:57,558
